content,lable
3부때는 더욱 알찬 분량과 작화를 가지고 오시길 기대하겠습니다,0
지금이 화귀 전성기다.,1
그런 식으로 따라잡는다고쳐도 여전히 한참 남았고 웹툰은 소설보다 연재주기가 긴데 대체 진행 어케 할 생각인거임...,0
서울대 못 가서 열불났나....,1
너무너무재밌썽...,1
작가가 멍창한건가...,1
2025년 3월9일 일요일 오후 1시04분경 정주행 다시 시작함,1
그림체 ㅋㅋㅋㅋㅋㅋㅋ 그냥 완결내자 못봐주겠다,0
오랫만에봐서 그런가 몬가 그림체도 내용도 급해보여서 집중이 안돼네요 ㅠ,0
d,1
존꿀잼,1
니 업보야 ㅋ,1
합방에 나락 피한것면 ㅈㄴ 혜자진 하다,1
여자♡발,1
ㅋㅋㅋㅋㅋㅋ아니 배댓갑자기 3개로 확 줄어든게 개웃김,1
유일하게 보는 웹툰인데 일부로 3회 는 몰아 보는데 진도 하나도 안나가네 걍 쉬다와라 휴재나 했으면 🤦,0
이집 장사잘허네~~,1
당장 장기연재한 만화중에 대작인 나루토나 원피스하고 비교해봐도 인물들이 거의 죽기직전까지 가거나 죽기도하는등 이렇게 중간중간 긴장 요소를 넣어야 만화에 대한 몰입도를 늘려주는 효과를 내서 독자가 인물에 이입해서 더 보고싶은 흥미를 유발하는데 최근 신의탑을 보면서 초창기때처럼 긴장해서 보는 느낌을 못받는거 같음..,0
별점 줬는데 가주한테 말대답?,1
1.마교와 전 무림이 전쟁하여 결국 매화검존이 천마의 목을 베며 동귀어진했다.,1
또밀리아 좀 그만..,0
나름 재밌게 보고있는데 댓글들은 왜캐 발작하지,1
내용적다고 깐걸 복붙이랑 개연성 ㅈ도 없는 전개로해서 늘려?,0
밤이 탑을올라가는과정이 궁금한데,0
다음화썸네일에살짝걱정되기시작함,0
평점 1점대 갈 수 있을 것 같은데...,1
그냥 둘이 가위바위보 해라,1
Awesome!!!!!!,1
저도 저렇게는 않씁니다,1
크게 그리면 상주냐?,1
오 몰아서 한번에 정주행해야겠다~~ ㅋㅋ,1
네이버는 웹툰작가 뽑는 기준이 뭐죠?,1
작가님...ㅠㅠ,1
언제 완결될지 걱정되긴하지만 ㅎㅎ 재밌습니다 ㅎㅎ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전령 방금왔는데 이미 뒤에서 막사 설치하고 대기타고 있네ㅋㅋㅋㅋㅋㅋㅋㅋ 안보이나?,0
그렇게 15년이 흘렀네요.,1
