content,feedback_label
여기 설정은 왜 없앴음 ㅋㅋ,0
"앞선 화에서 말한 둥지는 55층, 이번화 제목에 나온 둥지는 52층, 이번화 내용에 나온 둥지는 50층",0
이해도 못하는 멍청이들은 웹툰 보지마라,1
전 화에 둥지는 55층이라 했는데 여기는 50층이네,0
졸잼이구만 말 많네,1
본인이 직접 스토리 짜고 그리지 저럴거면,0
이 베댓들 요즘 화들을 보게하고싶다,1
재밌는데 왜이랭,1
"마스체니 상황설명을 혼잣말로 저정도로 하는거면 미친것 같네,",1
강연히 통화하는줄,1
그리고 갑자기 궁금해진건데 유리랑 마스체니가 십삼월 놓고 한 내기는 어떻게 되고 있는거예요?,1
내용이 알려지긴 했나?,1
이때는 몰랐지,1
야스라챠랑 야마 사이가 좋아질 줄...,1
얼어붙은 폭포' 속에 엔◇두가 있었나?,1
부유력이 조나 강해서 주변 공간은 랭커도 접근이 안 된다니 블랙홀의 반대느낌인 듯 신기방기,1
이때부터였지 망해가는게,0
1화부터 지금까지 정주행중인데 그냥 스토리재밌는데..?,1
갑자기 왜 욕하는거지,1
보물창고가 쿤이 털었던 거긴가,1
걍 재밌는데 되게 뭐라고 하네,1
야마네 팀 힘 얻을려고 그렇게 굴러서 왔는데 결국 견족들 지들끼리 서로 죽고죽이는 엔딩 나니까 사람들이 많이ㅋㅋㅋㅋ 답답했던게 터졌구나,1
아무튼 정주행 계속 간다~,1
하루에 50화 넘게 보면서 정주행 중인데 너무 재밌어서 계속 보게 되네요,1
그려주셔서 감사합니다..,1
여기서부터 베댓이 변하는구만,1
그렇구만,1
남의 말에 속아 넘어가서 그렇게 당하고 또 당해더 또 남의 말에 혹해서 질질 끌려다니는 주인공,1
애들 다 밤한테 죽겠네ㅋㅋㅋㅋㅋㅋ,1
야스라챠 ㄹㅇ 찢어직이고싶네,1
아스라챠..,1
계속 야마한테 이러면 야마의 야마가 돌아요,1
이번 편은 유독 평점 바닥에 비판 비난 댓글 밖에 없네...,1
작가님이 너무 스케일 크게 잡아놓으셔서 그만큼 주춧돌도 수없이 많이 필요하니 답답해도 작가님이 만들어가는 이야기 지켜봐주셨으면 합니다,1
정주행으로 보면 이해도 잘 되고 전개가 느리다는 생각도 별로 안 들어요.,1
주인공 및 엑스트라들의 수련과정들이라던가 건너뛸 부분은 빠르게 건너뛰시는 편이고요.,0
짤막하게나마 인물들간의 생각도 하나씩 내비쳐주십니다.,1
빠르게 훑어읽거나 오래되면 기억 안나고 놓치기 쉬워서 이해 안되는 전개라 느껴질 수 있고요.,0
등장인물도 수백명이라 일일히 서사 풀고 넘어가기엔 루즈해지니 에피소드별 핵심 외엔 간략히 보여주시는 것이죠.,0
어차피 다 풀어주면 루즈하다 욕하고 건너뛰면 개연성 없다,0
욕하니까 저는 이정도가 딱 좋고 전개도 서사도 다 맘에 들어요 ㅎㅎ,1
다만..,1
동시다발적사건을 다룰때 너무 자주 장면 전환하니 흐름과 몰입이 깨져서 너무 수시로 끊지 말고 조금만 더 길게 끊으셨으면 합니다...,0
여기에 이제 고고한파도가 참전을 해야지,1
보물창고라고 말한 데에 포비더 구스트앙이랑 로 포 비아 트로이가 말한 엔 자하드에 대해 적혀있을 듯 구스트앙은 서적에 기억이 숨겨져있고 트로이메라이는 보물창고에 숨겨져 있는 듯,1
야마 백허그 당함,1
근데 작가의 말 감명깊네,1
시련은 많은 것을 앗아가지만 또 많은 것을 가져와준다니...,1
앞으로의 스토리전개가 기대되는구만,1
개꿀잼으로 보고 있다가 베댓형들 너무 화나있어서 당황한 1人,1
정주행으로 보니 재밌네!?,1
????ㅋㅋㅋㅋ,1
정주행중인데 ㅈㄴ 재밌게 보고 있는데베댓보고 개황당;;;,1
정주행 중인데 진짜 개재밌다,1
다음날 출근해야 하는데 새벽 3~4시에 자게 되네...,1
하...,1
출근하기 싫다,1
견족들한테 왜그래 ㅠㅠ,1
지들이 스토리 짜면 신의탑 발톱때만큼도 못따라갈ㅅㄲ들이 물타기 ㅈㄴ 하네 싸다구 찢어버리고싶게,1
밤이랑 역이면 팔자 다 조지네,1
야마 그냥 착한놈이잖아,1
이 때 당시에는 한 주 한 주 답답했는데 정주행하니 재밌다.,1
빌드업 쌓는것도 보이고 근데 지금에피는 나중에 다시보ㅏ도 이 느낌이 안들것 같다.,0
그림체부터가 망작이다,0
정주행중인데 개재밌음 호흡이 길어서 한주에 한화씩나오는 웹툰 특성상 당시에는 비판이 나올수밖에 없었을듯 킹치만 정주행이 진가인걸잉,1
저 부유석창고가 쿤에드안이 사용하는 창고라는 말아님??,1
저기서 쿤아게로가 털어왔고 그거 언급은 없나ㅠㅠ,1
근데 캐릭터성 무너진건 ㄹㅇ맞음,0
재차 언급하지만공방은 진짜 뭐 만들어달라고 요청하면 다 만들어줘ㅋㅋㅋㅋㅋㅋㅋ 제자랑 대선생은 무슨 종족일까 재자가 천사와 악마처럼 묘사됐으니 대선생은 신일 가능성이 큰데,1
"매주 각 화 마다 보면 끌고 답답하고 처지는 느낌이 있을 수는 있지만 애초에 성벽 에피소드는 둥지에피로 넘어가기 전에 밤쪽에 절망감과 무력감을 줘서 둥지 스토리의 포텐셜을 높이는 역할을 해줌 때문에 연결해서 정주행으로 보면 마치 폭풍전야의 msg역할을 해주는, 꽤 좋은 에피였다고 생각함",0
중요한건 둥지에피가 무슨 전쟁이 승탑시험 마냥 이상한 겜이나 하고 가주는 히키 찐따로 나와 말아먹어서 그렇지,0
견족ㅜㅜ,1
