no,appId,episodeId,userName,content,score,at,M_Label,M_Score
1,183559,468,뀨잉,여기 설정은 왜 없앴음 ㅋㅋ,0,2025-05-14 18:12,offensive,0.51
2,183559,468,돈미새 토트넘,"앞선 화에서 말한 둥지는 55층, 이번화 제목에 나온 둥지는 52층, 이번화 내용에 나온 둥지는 50층",2,2025-04-02 02:27,offensive,0.54
3,183559,468,aramode,이해도 못하는 멍청이들은 웹툰 보지마라,0,2025-02-26 18:41,hate,0.93
4,183559,468,흠 배고픈데,전 화에 둥지는 55층이라 했는데 여기는 50층이네,2,2024-12-03 12:49,offensive,0.61
5,183559,468,달뜬하늘아래,졸잼이구만 말 많네,5,2024-11-29 14:14,offensive,0.7
5,183559,468,달뜬하늘아래,본인이 직접 스토리 짜고 그리지 저럴거면,5,2024-11-29 14:14,offensive,0.66
6,183559,468,low,이 베댓들 요즘 화들을 보게하고싶다,2,2024-10-09 20:30,clean,0.48
7,183559,468,다엘,재밌는데 왜이랭,1,2024-08-12 16:10,clean,0.52
8,183559,468,Koowniz,"마스체니 상황설명을 혼잣말로 저정도로 하는거면 미친것 같네,",2,2024-08-11 02:22,hate,0.84
8,183559,468,Koowniz,강연히 통화하는줄,2,2024-08-11 02:22,offensive,0.61
9,183559,468,뀨,그리고 갑자기 궁금해진건데 유리랑 마스체니가 십삼월 놓고 한 내기는 어떻게 되고 있는거예요?,1,2024-07-28 00:23,offensive,0.49
9,183559,468,뀨,내용이 알려지긴 했나?,1,2024-07-28 00:23,offensive,0.66
10,183559,468,뀨,이때는 몰랐지,0,2024-07-28 00:21,clean,0.47
10,183559,468,뀨,야스라챠랑 야마 사이가 좋아질 줄...,0,2024-07-28 00:21,clean,0.71
11,183559,468,캔들,얼어붙은 폭포' 속에 엔◇두가 있었나?,0,2024-03-07 19:01,offensive,0.63
11,183559,468,캔들,부유력이 조나 강해서 주변 공간은 랭커도 접근이 안 된다니 블랙홀의 반대느낌인 듯 신기방기,0,2024-03-07 19:01,offensive,0.59
12,183559,468,shwl****,이때부터였지 망해가는게,0,2024-02-02 17:58,hate,0.82
13,183559,468,최우정,1화부터 지금까지 정주행중인데 그냥 스토리재밌는데..?,17,2023-11-26 14:29,clean,0.53
13,183559,468,최우정,갑자기 왜 욕하는거지,17,2023-11-26 14:29,offensive,0.67
14,183559,468,감자,보물창고가 쿤이 털었던 거긴가,0,2023-11-18 10:55,offensive,0.53
15,183559,468,권윤수,걍 재밌는데 되게 뭐라고 하네,3,2023-10-26 21:28,offensive,0.58
16,183559,468,계란말이,야마네 팀 힘 얻을려고 그렇게 굴러서 왔는데 결국 견족들 지들끼리 서로 죽고죽이는 엔딩 나니까 사람들이 많이ㅋㅋㅋㅋ 답답했던게 터졌구나,1,2023-10-23 05:12,offensive,0.55
16,183559,468,계란말이,아무튼 정주행 계속 간다~,1,2023-10-23 05:12,offensive,0.51
17,183559,468,chj,하루에 50화 넘게 보면서 정주행 중인데 너무 재밌어서 계속 보게 되네요,2,2023-10-15 23:52,clean,0.57
18,183559,468,잠팅,그려주셔서 감사합니다..,1,2023-09-14 21:54,clean,0.53
19,183559,468,북긋등,여기서부터 베댓이 변하는구만,6,2023-09-01 09:50,offensive,0.65
19,183559,468,북긋등,그렇구만,6,2023-09-01 09:50,offensive,0.63
20,183559,468,슈켄,남의 말에 속아 넘어가서 그렇게 당하고 또 당해더 또 남의 말에 혹해서 질질 끌려다니는 주인공,1,2023-08-27 22:39,hate,0.9
21,183559,468,sje,애들 다 밤한테 죽겠네ㅋㅋㅋㅋㅋㅋ,1,2023-08-10 20:53,hate,0.95
22,183559,468,sjunalma,야스라챠 ㄹㅇ 찢어직이고싶네,2,2023-08-08 17:06,hate,0.96
23,183559,468,hyp,아스라챠..,2,2023-08-03 15:47,offensive,0.7
23,183559,468,hyp,계속 야마한테 이러면 야마의 야마가 돌아요,2,2023-08-03 15:47,offensive,0.69
24,183559,468,스테이크,이번 편은 유독 평점 바닥에 비판 비난 댓글 밖에 없네...,18,2023-08-02 03:49,offensive,0.68
24,183559,468,스테이크,작가님이 너무 스케일 크게 잡아놓으셔서 그만큼 주춧돌도 수없이 많이 필요하니 답답해도 작가님이 만들어가는 이야기 지켜봐주셨으면 합니다,18,2023-08-02 03:49,clean,0.7
24,183559,468,스테이크,정주행으로 보면 이해도 잘 되고 전개가 느리다는 생각도 별로 안 들어요.,18,2023-08-02 03:49,clean,0.68
24,183559,468,스테이크,주인공 및 엑스트라들의 수련과정들이라던가 건너뛸 부분은 빠르게 건너뛰시는 편이고요.,18,2023-08-02 03:49,offensive,0.45
24,183559,468,스테이크,짤막하게나마 인물들간의 생각도 하나씩 내비쳐주십니다.,18,2023-08-02 03:49,clean,0.69
24,183559,468,스테이크,빠르게 훑어읽거나 오래되면 기억 안나고 놓치기 쉬워서 이해 안되는 전개라 느껴질 수 있고요.,18,2023-08-02 03:49,clean,0.52
24,183559,468,스테이크,등장인물도 수백명이라 일일히 서사 풀고 넘어가기엔 루즈해지니 에피소드별 핵심 외엔 간략히 보여주시는 것이죠.,18,2023-08-02 03:49,offensive,0.49
24,183559,468,스테이크,어차피 다 풀어주면 루즈하다 욕하고 건너뛰면 개연성 없다,18,2023-08-02 03:49,offensive,0.67
24,183559,468,스테이크,욕하니까 저는 이정도가 딱 좋고 전개도 서사도 다 맘에 들어요 ㅎㅎ,18,2023-08-02 03:49,clean,0.69
24,183559,468,스테이크,다만..,18,2023-08-02 03:49,offensive,0.62
24,183559,468,스테이크,동시다발적사건을 다룰때 너무 자주 장면 전환하니 흐름과 몰입이 깨져서 너무 수시로 끊지 말고 조금만 더 길게 끊으셨으면 합니다...,18,2023-08-02 03:49,clean,0.54
25,183559,468,김학철,여기에 이제 고고한파도가 참전을 해야지,1,2023-07-30 16:34,offensive,0.61
26,183559,468,정영훈,보물창고라고 말한 데에 포비더 구스트앙이랑 로 포 비아 트로이가 말한 엔 자하드에 대해 적혀있을 듯 구스트앙은 서적에 기억이 숨겨져있고 트로이메라이는 보물창고에 숨겨져 있는 듯,0,2023-07-30 00:50,clean,0.8
27,183559,468,박주혁,야마 백허그 당함,0,2023-07-25 13:42,offensive,0.7
28,183559,468,푸실,근데 작가의 말 감명깊네,4,2023-07-16 11:14,clean,0.83
28,183559,468,푸실,시련은 많은 것을 앗아가지만 또 많은 것을 가져와준다니...,4,2023-07-16 11:14,offensive,0.53
28,183559,468,푸실,앞으로의 스토리전개가 기대되는구만,4,2023-07-16 11:14,offensive,0.63
29,183559,468,푸실,개꿀잼으로 보고 있다가 베댓형들 너무 화나있어서 당황한 1人,14,2023-07-16 11:11,offensive,0.54
30,183559,468,자루,정주행으로 보니 재밌네!?,5,2023-06-27 15:07,clean,0.75
31,183559,468,sum,????ㅋㅋㅋㅋ,24,2023-06-15 21:26,hate,0.55
31,183559,468,sum,정주행중인데 ㅈㄴ 재밌게 보고 있는데베댓보고 개황당;;;,24,2023-06-15 21:26,offensive,0.65
32,183559,468,김혜미,정주행 중인데 진짜 개재밌다,1,2023-06-12 17:56,clean,0.68
32,183559,468,김혜미,다음날 출근해야 하는데 새벽 3~4시에 자게 되네...,1,2023-06-12 17:56,offensive,0.6
32,183559,468,김혜미,하...,1,2023-06-12 17:56,offensive,0.66
32,183559,468,김혜미,출근하기 싫다,1,2023-06-12 17:56,offensive,0.63
33,183559,468,lun,견족들한테 왜그래 ㅠㅠ,2,2023-06-09 18:07,offensive,0.5
34,183559,468,max,지들이 스토리 짜면 신의탑 발톱때만큼도 못따라갈ㅅㄲ들이 물타기 ㅈㄴ 하네 싸다구 찢어버리고싶게,-1,2023-06-08 14:37,hate,0.96
35,183559,468,너덜너덜,밤이랑 역이면 팔자 다 조지네,1,2023-06-01 01:15,hate,0.95
36,183559,468,karaka,야마 그냥 착한놈이잖아,0,2023-05-05 20:46,clean,0.69
37,183559,468,iamcpa,이 때 당시에는 한 주 한 주 답답했는데 정주행하니 재밌다.,3,2023-04-06 20:34,clean,0.55
37,183559,468,iamcpa,빌드업 쌓는것도 보이고 근데 지금에피는 나중에 다시보ㅏ도 이 느낌이 안들것 같다.,3,2023-04-06 20:34,offensive,0.67
37,183559,468,iamcpa,그림체부터가 망작이다,3,2023-04-06 20:34,offensive,0.75
38,183559,468,박지원,정주행중인데 개재밌음 호흡이 길어서 한주에 한화씩나오는 웹툰 특성상 당시에는 비판이 나올수밖에 없었을듯 킹치만 정주행이 진가인걸잉,20,2023-03-26 23:34,clean,0.55
39,183559,468,CodeRack,저 부유석창고가 쿤에드안이 사용하는 창고라는 말아님??,4,2023-03-07 16:53,hate,0.47
39,183559,468,CodeRack,저기서 쿤아게로가 털어왔고 그거 언급은 없나ㅠㅠ,4,2023-03-07 16:53,clean,0.63
40,183559,468,네,근데 캐릭터성 무너진건 ㄹㅇ맞음,1,2023-02-22 13:27,offensive,0.52
41,183559,468,라아노벨,재차 언급하지만공방은 진짜 뭐 만들어달라고 요청하면 다 만들어줘ㅋㅋㅋㅋㅋㅋㅋ 제자랑 대선생은 무슨 종족일까 재자가 천사와 악마처럼 묘사됐으니 대선생은 신일 가능성이 큰데,4,2023-02-03 05:44,offensive,0.55
42,183559,468,권현우,"매주 각 화 마다 보면 끌고 답답하고 처지는 느낌이 있을 수는 있지만 애초에 성벽 에피소드는 둥지에피로 넘어가기 전에 밤쪽에 절망감과 무력감을 줘서 둥지 스토리의 포텐셜을 높이는 역할을 해줌 때문에 연결해서 정주행으로 보면 마치 폭풍전야의 msg역할을 해주는, 꽤 좋은 에피였다고 생각함",6,2023-01-06 00:10,clean,0.58
42,183559,468,권현우,중요한건 둥지에피가 무슨 전쟁이 승탑시험 마냥 이상한 겜이나 하고 가주는 히키 찐따로 나와 말아먹어서 그렇지,6,2023-01-06 00:10,hate,0.9
43,183559,468,나영이,견족ㅜㅜ,1,2023-01-03 22:56,offensive,0.64
44,183559,468,snowman,정주행 하면 자연스럽게 흘러가고 재밌는데 스토리가 너무 방대하다보니 당시에 한 주마다 기다리면서 보면 ㅈㄴ 감질맛나고 답답하긴 했음,12,2022-12-31 01:46,offensive,0.52
45,183559,468,아잉,정주행하면서 보니까 부자연스러운 부분 1도 모르겠고 작가님이 어떻게든 개연성 이어가려고 중간중간 설명하시는 부분 넣는 게 눈에 보이는데?,17,2022-12-27 18:02,offensive,0.54
45,183559,468,아잉,나만 그런 건가,17,2022-12-27 18:02,offensive,0.51
46,183559,468,아기가타고있어요,여기서부터민심이바닥낫노..,2,2022-11-25 00:13,offensive,0.66
47,183559,468,훙잉,둥지 55층이라 하지 않았나?,3,2022-09-30 11:58,offensive,0.64
48,183559,468,악마사냥꾼,ㅠㅠ,0,2022-09-19 17:50,clean,0.53
49,183559,468,한준,근데 생각해보니까 어이없네 개몸에서 왜 고양이 피가 흐르는지 너무 허무하게 아무것도 못하고 당했네,3,2022-08-21 17:33,offensive,0.54
50,183559,468,울퉁불퉁토마토,이상하넹,1,2022-08-17 00:47,offensive,0.51
50,183559,468,울퉁불퉁토마토,별점이.,1,2022-08-17 00:47,offensive,0.62
50,183559,468,울퉁불퉁토마토,왜이렇징????,1,2022-08-17 00:47,offensive,0.56
51,183559,468,에이스,야스:여기서 어떻게든 처리하고싶은데..2년뒤:넌 내 제일친한친구의 아들이야 ????,3,2022-08-11 07:40,offensive,0.54
51,183559,468,에이스,정주행 중 제일큰 의문점,3,2022-08-11 07:40,offensive,0.66
52,183559,468,별사탕,야스라찬지 스리라찬지 용서 못해.ㅠㅠ,0,2022-08-08 00:20,hate,0.68
53,183559,468,쌍마이,아는형님 38화 보면 소원이 95년생인데 내가 3살때 나온 노래라고 했는데 95년에 1살 96년에 2살 97년에 3살인데 자막에 98년이래 나이 계산할 줄 모르냐봐,0,2022-07-22 21:35,hate,0.59
54,183559,468,헤헤,만신,-2,2022-07-13 00:53,offensive,0.67
55,183559,468,돌돌멧돌,댓글 너무 찡찡댄다,21,2022-06-28 19:01,offensive,0.67
55,183559,468,돌돌멧돌,정주행하니까 전개 자연스러운데그리고 뭐 전쟁나면 무조건 밤이 활약해야하나 전투신보고싶어서 안달났네,21,2022-06-28 19:01,hate,0.49
56,183559,468,jet,쿤 에드안이 사용하는 창고라...,0,2022-06-04 04:41,offensive,0.63
56,183559,468,jet,쿤이 털고 나온 창고랑은 다른 창고인가?,0,2022-06-04 04:41,offensive,0.54
57,183559,468,성우,정주행하면 진짜 자연스럽게 재밌음,22,2022-05-31 19:40,clean,0.74
57,183559,468,성우,원피스도 웹툰처럼 한 화 씩 올라왔으면 노잼소리 들었을듯,22,2022-05-31 19:40,offensive,0.59
58,183559,468,꾸띠,둥지설명,0,2022-05-15 17:49,clean,0.55
59,183559,468,마티,츤데레 빛스라차..,1,2022-05-09 16:44,offensive,0.52
60,183559,468,행복할 하리보,아니 아스라챠 어쩌다 야마가 보내졌고 그자리에 아스라챠가 있었을 뿐인데 이렇게까지 하누,1,2022-05-04 20:22,offensive,0.6
